pixel_id,elevation,toid,within_building,without_building,height,base_roof_height
436746,123.74,osgb1000043085584,True,False,9.95,6.9
436915,124.14,osgb1000043085584,True,False,9.95,6.9
436916,124.23,osgb1000043085584,True,False,9.95,6.9
436917,123.9,osgb1000043085584,True,False,9.95,6.9
437084,124.18,osgb1000043085584,True,False,9.95,6.9
437085,124.24,osgb1000043085584,True,False,9.95,6.9
437086,124.21,osgb1000043085584,True,False,9.95,6.9
437087,123.91,osgb1000043085584,True,False,9.95,6.9
437088,121.73,osgb1000043085584,True,False,9.95,6.9
437247,124.26,osgb1000043085584,True,False,9.95,6.9
437248,124.19,osgb1000043085584,True,False,9.95,6.9
437249,124.17,osgb1000043085584,True,False,9.95,6.9
437250,124.2,osgb1000043085584,True,False,9.95,6.9
437251,124.31,osgb1000043085584,True,False,9.95,6.9
437252,124.11,osgb1000043085584,True,False,9.95,6.9
437256,120.28,osgb1000043085584,True,False,9.95,6.9
437257,120.28,osgb1000043085584,True,False,9.95,6.9
437407,124.22,osgb1000043085584,True,False,9.95,6.9
437408,124.24,osgb1000043085584,True,False,9.95,6.9
437409,124.17,osgb1000043085584,True,False,9.95,6.9
437410,124.34,osgb1000043085584,True,False,9.95,6.9
437411,123.84,osgb1000043085584,True,False,9.95,6.9
437414,122.21,osgb1000043085584,True,False,9.95,6.9
437415,120.27,osgb1000043085584,True,False,9.95,6.9
437416,120.29,osgb1000043085584,True,False,9.95,6.9
437417,120.26,osgb1000043085584,True,False,9.95,6.9
437561,127.4,osgb1000043085584,True,False,9.95,6.9
437562,126.17,osgb1000043085584,True,False,9.95,6.9
437563,125.42,osgb1000043085584,True,False,9.95,6.9
437564,124.36,osgb1000043085584,True,False,9.95,6.9
437565,124.08,osgb1000043085584,True,False,9.95,6.9
437568,130.93,osgb1000043085584,True,False,9.95,6.9
437569,130.38,osgb1000043085584,True,False,9.95,6.9
437570,127.73,osgb1000043085584,True,False,9.95,6.9
437571,125.48,osgb1000043085584,True,False,9.95,6.9
437572,121.81,osgb1000043085584,True,False,9.95,6.9
437573,120.17,osgb1000043085584,True,False,9.95,6.9
437708,128.06,osgb1000043085584,True,False,9.95,6.9
437709,128.24,osgb1000043085584,True,False,9.95,6.9
437710,127.88,osgb1000043085584,True,False,9.95,6.9
437711,127.15,osgb1000043085584,True,False,9.95,6.9
437712,124.58,osgb1000043085584,True,False,9.95,6.9
437716,130.79,osgb1000043085584,True,False,9.95,6.9
437717,131.08,osgb1000043085584,True,False,9.95,6.9
437718,130.89,osgb1000043085584,True,False,9.95,6.9
437719,130.49,osgb1000043085584,True,False,9.95,6.9
437720,127.85,osgb1000043085584,True,False,9.95,6.9
437721,121.39,osgb1000043085584,True,False,9.95,6.9
437722,120.16,osgb1000043085584,True,False,9.95,6.9
437851,128.17,osgb1000043085584,True,False,9.95,6.9
437852,128.27,osgb1000043085584,True,False,9.95,6.9
437853,128.12,osgb1000043085584,True,False,9.95,6.9
437854,127.75,osgb1000043085584,True,False,9.95,6.9
437855,127.27,osgb1000043085584,True,False,9.95,6.9
437856,125.55,osgb1000043085584,True,False,9.95,6.9
437857,122.26,osgb1000043085584,True,False,9.95,6.9
437858,127.0,osgb1000043085584,True,False,9.95,6.9
437860,131.35,osgb1000043085584,True,False,9.95,6.9
437861,131.53,osgb1000043085584,True,False,9.95,6.9
437862,130.77,osgb1000043085584,True,False,9.95,6.9
437863,130.13,osgb1000043085584,True,False,9.95,6.9
437864,123.04,osgb1000043085584,True,False,9.95,6.9
437865,120.1,osgb1000043085584,True,False,9.95,6.9
437989,128.47,osgb1000043085584,True,False,9.95,6.9
437990,128.24,osgb1000043085584,True,False,9.95,6.9
437991,127.96,osgb1000043085584,True,False,9.95,6.9
437992,127.29,osgb1000043085584,True,False,9.95,6.9
437993,127.16,osgb1000043085584,True,False,9.95,6.9
437994,126.97,osgb1000043085584,True,False,9.95,6.9
437995,128.31,osgb1000043085584,True,False,9.95,6.9
437996,130.48,osgb1000043085584,True,False,9.95,6.9
437997,131.05,osgb1000043085584,True,False,9.95,6.9
437998,131.58,osgb1000043085584,True,False,9.95,6.9
437999,131.13,osgb1000043085584,True,False,9.95,6.9
438000,129.79,osgb1000043085584,True,False,9.95,6.9
438001,122.16,osgb1000043085584,True,False,9.95,6.9
438002,122.61,osgb1000043085584,True,False,9.95,6.9
438102,128.48,osgb1000043085584,True,False,9.95,6.9
438103,128.36,osgb1000043085584,True,False,9.95,6.9
438104,128.14,osgb1000043085584,True,False,9.95,6.9
438105,127.92,osgb1000043085584,True,False,9.95,6.9
438106,127.36,osgb1000043085584,True,False,9.95,6.9
438107,127.81,osgb1000043085584,True,False,9.95,6.9
438108,128.03,osgb1000043085584,True,False,9.95,6.9
438109,130.17,osgb1000043085584,True,False,9.95,6.9
438110,131.08,osgb1000043085584,True,False,9.95,6.9
438111,131.67,osgb1000043085584,True,False,9.95,6.9
438112,131.19,osgb1000043085584,True,False,9.95,6.9
438113,130.43,osgb1000043085584,True,False,9.95,6.9
438114,127.79,osgb1000043085584,True,False,9.95,6.9
438115,127.82,osgb1000043085584,True,False,9.95,6.9
438116,124.86,osgb1000043085584,True,False,9.95,6.9
438211,128.64,osgb1000043085584,True,False,9.95,6.9
438212,128.82,osgb1000043085584,True,False,9.95,6.9
438213,128.49,osgb1000043085584,True,False,9.95,6.9
438214,128.32,osgb1000043085584,True,False,9.95,6.9
438215,127.9,osgb1000043085584,True,False,9.95,6.9
438216,127.62,osgb1000043085584,True,False,9.95,6.9
438217,129.94,osgb1000043085584,True,False,9.95,6.9
438218,130.69,osgb1000043085584,True,False,9.95,6.9
438219,131.37,osgb1000043085584,True,False,9.95,6.9
438220,131.02,osgb1000043085584,True,False,9.95,6.9
438221,131.0,osgb1000043085584,True,False,9.95,6.9
438222,130.68,osgb1000043085584,True,False,9.95,6.9
438223,129.98,osgb1000043085584,True,False,9.95,6.9
438225,128.6,osgb1000043085584,True,False,9.95,6.9
438226,124.19,osgb1000043085584,True,False,9.95,6.9
438227,119.48,osgb1000043085584,True,False,9.95,6.9
438224,129.87,osgb1000043085584,True,False,9.95,6.9
438315,128.53,osgb1000043085584,True,False,9.95,6.9
438316,128.9,osgb1000043085584,True,False,9.95,6.9
438317,129.29,osgb1000043085584,True,False,9.95,6.9
438318,129.11,osgb1000043085584,True,False,9.95,6.9
438319,128.79,osgb1000043085584,True,False,9.95,6.9
438320,128.45,osgb1000043085584,True,False,9.95,6.9
438321,129.5,osgb1000043085584,True,False,9.95,6.9
438322,130.48,osgb1000043085584,True,False,9.95,6.9
438323,131.36,osgb1000043085584,True,False,9.95,6.9
438324,130.69,osgb1000043085584,True,False,9.95,6.9
438325,132.08,osgb1000043085584,True,False,9.95,6.9
438326,130.6,osgb1000043085584,True,False,9.95,6.9
438327,130.09,osgb1000043085584,True,False,9.95,6.9
438330,128.84,osgb1000043085584,True,False,9.95,6.9
438331,124.98,osgb1000043085584,True,False,9.95,6.9
438332,123.89,osgb1000043085584,True,False,9.95,6.9
438333,121.73,osgb1000043085584,True,False,9.95,6.9
438334,120.51,osgb1000043085584,True,False,9.95,6.9
438328,129.8,osgb1000043085584,True,False,9.95,6.9
438329,130.41,osgb1000043085584,True,False,9.95,6.9
438418,128.48,osgb1000043085584,True,False,9.95,6.9
438419,128.59,osgb1000043085584,True,False,9.95,6.9
438420,129.02,osgb1000043085584,True,False,9.95,6.9
438421,129.15,osgb1000043085584,True,False,9.95,6.9
438422,129.08,osgb1000043085584,True,False,9.95,6.9
438423,129.05,osgb1000043085584,True,False,9.95,6.9
438424,131.76,osgb1000043085584,True,False,9.95,6.9
438425,131.2,osgb1000043085584,True,False,9.95,6.9
438426,131.96,osgb1000043085584,True,False,9.95,6.9
438427,132.03,osgb1000043085584,True,False,9.95,6.9
438428,131.39,osgb1000043085584,True,False,9.95,6.9
438429,130.71,osgb1000043085584,True,False,9.95,6.9
438430,129.96,osgb1000043085584,True,False,9.95,6.9
438434,131.48,osgb1000043085584,True,False,9.95,6.9
438435,132.5,osgb1000043085584,True,False,9.95,6.9
438436,129.29,osgb1000043085584,True,False,9.95,6.9
438437,127.72,osgb1000043085584,True,False,9.95,6.9
438438,120.87,osgb1000043085584,True,False,9.95,6.9
438431,130.29,osgb1000043085584,True,False,9.95,6.9
438432,131.09,osgb1000043085584,True,False,9.95,6.9
438433,131.75,osgb1000043085584,True,False,9.95,6.9
438526,128.57,osgb1000043085584,True,False,9.95,6.9
438527,128.87,osgb1000043085584,True,False,9.95,6.9
438528,129.54,osgb1000043085584,True,False,9.95,6.9
438529,131.34,osgb1000043085584,True,False,9.95,6.9
438530,132.16,osgb1000043085584,True,False,9.95,6.9
438531,131.85,osgb1000043085584,True,False,9.95,6.9
