pixel_id,elevation,toid,within_building,without_building,height,base_roof_height
197649,122.02,osgb1000020002780,False,False,6.65,4.9
182986,128.05,osgb1000020002780,False,False,6.65,4.9
182987,129.03,osgb1000020002780,False,False,6.65,4.9
182988,128.82,osgb1000020002780,False,False,6.65,4.9
182989,128.21,osgb1000020002780,False,False,6.65,4.9
182990,127.8,osgb1000020002780,False,False,6.65,4.9
182991,123.57,osgb1000020002780,False,False,6.65,4.9
183611,127.83,osgb1000020002780,False,False,6.65,4.9
183612,129.04,osgb1000020002780,False,False,6.65,4.9
183613,128.91,osgb1000020002780,False,False,6.65,4.9
183614,127.63,osgb1000020002780,False,False,6.65,4.9
183615,126.08,osgb1000020002780,False,False,6.65,4.9
183616,120.89,osgb1000020002780,False,False,6.65,4.9
186178,122.27,osgb1000020002780,True,False,6.65,4.9
186179,123.53,osgb1000020002780,True,False,6.65,4.9
186180,124.12,osgb1000020002780,True,False,6.65,4.9
186181,125.67,osgb1000020002780,True,False,6.65,4.9
186182,127.86,osgb1000020002780,True,False,6.65,4.9
186183,124.98,osgb1000020002780,True,False,6.65,4.9
186184,124.97,osgb1000020002780,True,False,6.65,4.9
186185,126.04,osgb1000020002780,True,False,6.65,4.9
186186,126.78,osgb1000020002780,True,False,6.65,4.9
186825,126.6,osgb1000020002780,True,False,6.65,4.9
186826,126.78,osgb1000020002780,True,False,6.65,4.9
186827,128.12,osgb1000020002780,True,False,6.65,4.9
186828,129.1,osgb1000020002780,True,False,6.65,4.9
186829,128.66,osgb1000020002780,True,False,6.65,4.9
186830,127.89,osgb1000020002780,True,False,6.65,4.9
186831,127.99,osgb1000020002780,True,False,6.65,4.9
186832,128.12,osgb1000020002780,True,False,6.65,4.9
186833,127.07,osgb1000020002780,True,False,6.65,4.9
186834,122.23,osgb1000020002780,True,False,6.65,4.9
187463,128.51,osgb1000020002780,True,False,6.65,4.9
187464,128.65,osgb1000020002780,True,False,6.65,4.9
187465,128.76,osgb1000020002780,True,False,6.65,4.9
187466,129.16,osgb1000020002780,True,False,6.65,4.9
187467,129.02,osgb1000020002780,True,False,6.65,4.9
187468,129.05,osgb1000020002780,True,False,6.65,4.9
187469,128.84,osgb1000020002780,True,False,6.65,4.9
187470,128.82,osgb1000020002780,True,False,6.65,4.9
187471,128.66,osgb1000020002780,True,False,6.65,4.9
187472,122.99,osgb1000020002780,True,False,6.65,4.9
188087,129.09,osgb1000020002780,True,False,6.65,4.9
188088,128.75,osgb1000020002780,True,False,6.65,4.9
188089,128.73,osgb1000020002780,True,False,6.65,4.9
188090,129.08,osgb1000020002780,True,False,6.65,4.9
