pixel_id,elevation,toid,within_building,without_building,height,base_roof_height
37122,134.66,osgb1000019929148,True,False,6.05,2.2
38122,134.51,osgb1000019929148,True,False,6.05,2.2
38395,133.03,osgb1000019929148,False,False,6.05,2.2
35794,130.64,osgb1000019929148,True,False,6.05,2.2
35956,131.84,osgb1000019929148,True,False,6.05,2.2
35957,133.18,osgb1000019929148,True,False,6.05,2.2
35958,129.86,osgb1000019929148,True,False,6.05,2.2
36125,135.12,osgb1000019929148,True,False,6.05,2.2
36126,134.66,osgb1000019929148,True,False,6.05,2.2
36129,135.43,osgb1000019929148,True,False,6.05,2.2
36130,134.73,osgb1000019929148,True,False,6.05,2.2
36131,133.77,osgb1000019929148,True,False,6.05,2.2
36132,135.39,osgb1000019929148,True,False,6.05,2.2
36133,132.19,osgb1000019929148,True,False,6.05,2.2
36134,130.74,osgb1000019929148,True,False,6.05,2.2
36306,133.65,osgb1000019929148,True,False,6.05,2.2
36307,133.53,osgb1000019929148,True,False,6.05,2.2
36308,133.59,osgb1000019929148,True,False,6.05,2.2
36309,133.87,osgb1000019929148,True,False,6.05,2.2
36310,133.78,osgb1000019929148,True,False,6.05,2.2
36311,134.6,osgb1000019929148,True,False,6.05,2.2
36312,133.56,osgb1000019929148,True,False,6.05,2.2
36313,134.1,osgb1000019929148,True,False,6.05,2.2
36314,134.47,osgb1000019929148,True,False,6.05,2.2
36315,134.59,osgb1000019929148,True,False,6.05,2.2
36316,134.21,osgb1000019929148,True,False,6.05,2.2
36317,131.36,osgb1000019929148,True,False,6.05,2.2
36500,132.84,osgb1000019929148,True,False,6.05,2.2
36501,132.9,osgb1000019929148,True,False,6.05,2.2
36502,133.02,osgb1000019929148,True,False,6.05,2.2
36503,133.17,osgb1000019929148,True,False,6.05,2.2
36504,133.35,osgb1000019929148,True,False,6.05,2.2
36505,133.65,osgb1000019929148,True,False,6.05,2.2
36506,133.73,osgb1000019929148,True,False,6.05,2.2
36507,133.98,osgb1000019929148,True,False,6.05,2.2
36496,133.05,osgb1000019929148,True,False,6.05,2.2
36497,130.41,osgb1000019929148,True,False,6.05,2.2
36498,132.82,osgb1000019929148,True,False,6.05,2.2
36499,132.83,osgb1000019929148,True,False,6.05,2.2
36508,135.02,osgb1000019929148,True,False,6.05,2.2
36509,133.17,osgb1000019929148,True,False,6.05,2.2
36694,132.24,osgb1000019929148,True,False,6.05,2.2
36695,132.84,osgb1000019929148,True,False,6.05,2.2
36696,132.87,osgb1000019929148,True,False,6.05,2.2
36697,132.96,osgb1000019929148,True,False,6.05,2.2
36698,133.12,osgb1000019929148,True,False,6.05,2.2
36699,133.28,osgb1000019929148,True,False,6.05,2.2
36700,133.42,osgb1000019929148,True,False,6.05,2.2
36701,133.7,osgb1000019929148,True,False,6.05,2.2
36706,133.42,osgb1000019929148,True,False,6.05,2.2
36707,132.15,osgb1000019929148,True,False,6.05,2.2
36702,133.83,osgb1000019929148,True,False,6.05,2.2
36703,133.99,osgb1000019929148,True,False,6.05,2.2
36704,134.13,osgb1000019929148,True,False,6.05,2.2
36705,134.42,osgb1000019929148,True,False,6.05,2.2
36910,133.56,osgb1000019929148,True,False,6.05,2.2
36911,133.28,osgb1000019929148,True,False,6.05,2.2
36912,132.84,osgb1000019929148,True,False,6.05,2.2
36913,130.73,osgb1000019929148,True,False,6.05,2.2
36899,132.84,osgb1000019929148,True,False,6.05,2.2
36900,132.9,osgb1000019929148,True,False,6.05,2.2
36901,133.01,osgb1000019929148,True,False,6.05,2.2
36902,133.19,osgb1000019929148,True,False,6.05,2.2
36903,133.37,osgb1000019929148,True,False,6.05,2.2
36904,133.58,osgb1000019929148,True,False,6.05,2.2
36905,133.71,osgb1000019929148,True,False,6.05,2.2
36906,133.9,osgb1000019929148,True,False,6.05,2.2
36907,134.09,osgb1000019929148,True,False,6.05,2.2
36908,134.29,osgb1000019929148,True,False,6.05,2.2
36909,134.49,osgb1000019929148,True,False,6.05,2.2
37113,132.94,osgb1000019929148,True,False,6.05,2.2
37114,133.12,osgb1000019929148,True,False,6.05,2.2
37115,133.25,osgb1000019929148,True,False,6.05,2.2
37116,133.45,osgb1000019929148,True,False,6.05,2.2
37117,133.57,osgb1000019929148,True,False,6.05,2.2
37118,133.84,osgb1000019929148,True,False,6.05,2.2
37119,133.95,osgb1000019929148,True,False,6.05,2.2
37112,132.34,osgb1000019929148,True,False,6.05,2.2
37123,133.58,osgb1000019929148,True,False,6.05,2.2
37124,132.87,osgb1000019929148,True,False,6.05,2.2
37125,132.88,osgb1000019929148,True,False,6.05,2.2
37126,132.85,osgb1000019929148,True,False,6.05,2.2
37127,131.48,osgb1000019929148,True,False,6.05,2.2
37128,131.52,osgb1000019929148,True,False,6.05,2.2
37129,132.47,osgb1000019929148,True,False,6.05,2.2
37130,129.97,osgb1000019929148,True,False,6.05,2.2
37120,134.13,osgb1000019929148,True,False,6.05,2.2
37121,134.35,osgb1000019929148,True,False,6.05,2.2
37342,130.73,osgb1000019929148,True,False,6.05,2.2
37354,133.59,osgb1000019929148,True,False,6.05,2.2
37355,132.88,osgb1000019929148,True,False,6.05,2.2
37356,132.86,osgb1000019929148,True,False,6.05,2.2
37357,132.87,osgb1000019929148,True,False,6.05,2.2
37358,132.86,osgb1000019929148,True,False,6.05,2.2
37359,132.89,osgb1000019929148,True,False,6.05,2.2
37360,133.05,osgb1000019929148,True,False,6.05,2.2
37361,132.87,osgb1000019929148,True,False,6.05,2.2
37362,131.36,osgb1000019929148,True,False,6.05,2.2
37363,130.58,osgb1000019929148,True,False,6.05,2.2
37343,132.83,osgb1000019929148,True,False,6.05,2.2
37344,133.0,osgb1000019929148,True,False,6.05,2.2
37345,133.19,osgb1000019929148,True,False,6.05,2.2
37346,133.38,osgb1000019929148,True,False,6.05,2.2
37347,133.51,osgb1000019929148,True,False,6.05,2.2
37348,133.6,osgb1000019929148,True,False,6.05,2.2
37349,133.94,osgb1000019929148,True,False,6.05,2.2
37350,134.02,osgb1000019929148,True,False,6.05,2.2
37351,134.27,osgb1000019929148,True,False,6.05,2.2
37352,134.41,osgb1000019929148,True,False,6.05,2.2
37353,134.64,osgb1000019929148,True,False,6.05,2.2
37588,132.76,osgb1000019929148,True,False,6.05,2.2
37595,131.25,osgb1000019929148,True,False,6.05,2.2
37600,133.71,osgb1000019929148,True,False,6.05,2.2
37601,132.99,osgb1000019929148,True,False,6.05,2.2
37602,132.93,osgb1000019929148,True,False,6.05,2.2
37603,132.88,osgb1000019929148,True,False,6.05,2.2
37604,132.89,osgb1000019929148,True,False,6.05,2.2
37605,132.85,osgb1000019929148,True,False,6.05,2.2
37606,133.12,osgb1000019929148,True,False,6.05,2.2
37607,133.38,osgb1000019929148,True,False,6.05,2.2
37608,133.12,osgb1000019929148,True,False,6.05,2.2
37609,132.77,osgb1000019929148,True,False,6.05,2.2
37610,131.29,osgb1000019929148,True,False,6.05,2.2
37589,132.91,osgb1000019929148,True,False,6.05,2.2
37590,133.05,osgb1000019929148,True,False,6.05,2.2
37591,133.25,osgb1000019929148,True,False,6.05,2.2
37592,133.43,osgb1000019929148,True,False,6.05,2.2
37593,133.64,osgb1000019929148,True,False,6.05,2.2
37594,133.76,osgb1000019929148,True,False,6.05,2.2
37596,134.15,osgb1000019929148,True,False,6.05,2.2
37597,134.33,osgb1000019929148,True,False,6.05,2.2
37598,134.58,osgb1000019929148,True,False,6.05,2.2
37599,134.62,osgb1000019929148,True,False,6.05,2.2
37848,131.49,osgb1000019929148,True,False,6.05,2.2
37854,132.92,osgb1000019929148,True,False,6.05,2.2
37857,133.8,osgb1000019929148,True,False,6.05,2.2
