pixel_id,elevation,toid,within_building,without_building,height,base_roof_height
206963,117.29,osgb5000005134753280,False,False,9.1,8.0
206964,117.32,osgb5000005134753280,False,False,9.1,8.0
206965,117.29,osgb5000005134753280,False,False,9.1,8.0
206966,117.27,osgb5000005134753280,False,False,9.1,8.0
206967,117.2,osgb5000005134753280,False,False,9.1,8.0
204560,107.4,osgb5000005134753280,False,False,9.1,8.0
204561,107.24,osgb5000005134753280,False,False,9.1,8.0
193257,117.27,osgb5000005134753280,True,False,9.1,8.0
193258,117.29,osgb5000005134753280,True,False,9.1,8.0
193259,117.3,osgb5000005134753280,True,False,9.1,8.0
193879,117.36,osgb5000005134753280,True,False,9.1,8.0
193880,117.32,osgb5000005134753280,True,False,9.1,8.0
193881,117.29,osgb5000005134753280,True,False,9.1,8.0
193882,117.23,osgb5000005134753280,True,False,9.1,8.0
193883,117.23,osgb5000005134753280,True,False,9.1,8.0
193884,117.26,osgb5000005134753280,True,False,9.1,8.0
193885,117.32,osgb5000005134753280,True,False,9.1,8.0
193886,117.13,osgb5000005134753280,True,False,9.1,8.0
194493,117.37,osgb5000005134753280,True,False,9.1,8.0
194494,117.3,osgb5000005134753280,True,False,9.1,8.0
194495,117.29,osgb5000005134753280,True,False,9.1,8.0
194496,117.29,osgb5000005134753280,True,False,9.1,8.0
194497,117.31,osgb5000005134753280,True,False,9.1,8.0
194498,117.25,osgb5000005134753280,True,False,9.1,8.0
194500,117.06,osgb5000005134753280,True,False,9.1,8.0
194501,117.29,osgb5000005134753280,True,False,9.1,8.0
194502,117.3,osgb5000005134753280,True,False,9.1,8.0
194503,117.26,osgb5000005134753280,True,False,9.1,8.0
195112,117.36,osgb5000005134753280,True,False,9.1,8.0
195113,117.41,osgb5000005134753280,True,False,9.1,8.0
195114,117.38,osgb5000005134753280,True,False,9.1,8.0
195115,117.31,osgb5000005134753280,True,False,9.1,8.0
195116,117.21,osgb5000005134753280,True,False,9.1,8.0
195117,117.22,osgb5000005134753280,True,False,9.1,8.0
195118,117.24,osgb5000005134753280,True,False,9.1,8.0
195119,117.27,osgb5000005134753280,True,False,9.1,8.0
195120,117.28,osgb5000005134753280,True,False,9.1,8.0
195121,117.21,osgb5000005134753280,True,False,9.1,8.0
195757,117.38,osgb5000005134753280,True,False,9.1,8.0
195758,117.31,osgb5000005134753280,True,False,9.1,8.0
195759,117.34,osgb5000005134753280,True,False,9.1,8.0
195760,117.31,osgb5000005134753280,True,False,9.1,8.0
195761,117.29,osgb5000005134753280,True,False,9.1,8.0
195762,117.3,osgb5000005134753280,True,False,9.1,8.0
195763,117.23,osgb5000005134753280,True,False,9.1,8.0
195764,117.3,osgb5000005134753280,True,False,9.1,8.0
195765,117.32,osgb5000005134753280,True,False,9.1,8.0
195766,117.27,osgb5000005134753280,True,False,9.1,8.0
195767,117.24,osgb5000005134753280,True,False,9.1,8.0
195768,117.19,osgb5000005134753280,True,False,9.1,8.0
195769,117.35,osgb5000005134753280,True,False,9.1,8.0
196436,117.28,osgb5000005134753280,True,False,9.1,8.0
196437,117.21,osgb5000005134753280,True,False,9.1,8.0
196438,117.3,osgb5000005134753280,True,False,9.1,8.0
196439,117.2,osgb5000005134753280,True,False,9.1,8.0
197769,117.4,osgb5000005134753280,True,False,9.1,8.0
197770,117.4,osgb5000005134753280,True,False,9.1,8.0
197771,117.42,osgb5000005134753280,True,False,9.1,8.0
197772,117.39,osgb5000005134753280,True,False,9.1,8.0
197773,117.41,osgb5000005134753280,True,False,9.1,8.0
197774,117.36,osgb5000005134753280,True,False,9.1,8.0
197775,117.31,osgb5000005134753280,True,False,9.1,8.0
197776,117.32,osgb5000005134753280,True,False,9.1,8.0
197777,117.36,osgb5000005134753280,True,False,9.1,8.0
197778,117.26,osgb5000005134753280,True,False,9.1,8.0
197779,117.29,osgb5000005134753280,True,False,9.1,8.0
197780,117.28,osgb5000005134753280,True,False,9.1,8.0
197781,117.26,osgb5000005134753280,True,False,9.1,8.0
197782,117.27,osgb5000005134753280,True,False,9.1,8.0
197783,117.23,osgb5000005134753280,True,False,9.1,8.0
197784,117.18,osgb5000005134753280,True,False,9.1,8.0
198438,117.28,osgb5000005134753280,True,False,9.1,8.0
198439,117.25,osgb5000005134753280,True,False,9.1,8.0
198440,117.3,osgb5000005134753280,True,False,9.1,8.0
198441,117.29,osgb5000005134753280,True,False,9.1,8.0
198442,117.26,osgb5000005134753280,True,False,9.1,8.0
198443,117.31,osgb5000005134753280,True,False,9.1,8.0
198444,117.15,osgb5000005134753280,True,False,9.1,8.0
199077,117.38,osgb5000005134753280,True,False,9.1,8.0
199078,117.39,osgb5000005134753280,True,False,9.1,8.0
199079,117.36,osgb5000005134753280,True,False,9.1,8.0
199080,117.13,osgb5000005134753280,True,False,9.1,8.0
199082,117.25,osgb5000005134753280,True,False,9.1,8.0
199083,117.29,osgb5000005134753280,True,False,9.1,8.0
199084,117.29,osgb5000005134753280,True,False,9.1,8.0
199085,117.25,osgb5000005134753280,True,False,9.1,8.0
199086,117.26,osgb5000005134753280,True,False,9.1,8.0
199087,117.28,osgb5000005134753280,True,False,9.1,8.0
199088,117.3,osgb5000005134753280,True,False,9.1,8.0
199089,117.14,osgb5000005134753280,True,False,9.1,8.0
199713,117.4,osgb5000005134753280,True,False,9.1,8.0
199714,117.38,osgb5000005134753280,True,False,9.1,8.0
199715,117.36,osgb5000005134753280,True,False,9.1,8.0
199716,117.33,osgb5000005134753280,True,False,9.1,8.0
199717,117.36,osgb5000005134753280,True,False,9.1,8.0
200360,117.27,osgb5000005134753280,True,False,9.1,8.0
200361,117.26,osgb5000005134753280,True,False,9.1,8.0
200976,117.31,osgb5000005134753280,True,False,9.1,8.0
200977,117.32,osgb5000005134753280,True,False,9.1,8.0
200978,117.29,osgb5000005134753280,True,False,9.1,8.0
200980,117.24,osgb5000005134753280,True,False,9.1,8.0
200981,117.28,osgb5000005134753280,True,False,9.1,8.0
200982,117.24,osgb5000005134753280,True,False,9.1,8.0
200983,117.21,osgb5000005134753280,True,False,9.1,8.0
200984,117.33,osgb5000005134753280,True,False,9.1,8.0
200985,117.26,osgb5000005134753280,True,False,9.1,8.0
200986,117.28,osgb5000005134753280,True,False,9.1,8.0
202199,117.31,osgb5000005134753280,True,False,9.1,8.0
202200,117.27,osgb5000005134753280,True,False,9.1,8.0
202201,117.27,osgb5000005134753280,True,False,9.1,8.0
202202,117.25,osgb5000005134753280,True,False,9.1,8.0
202203,117.22,osgb5000005134753280,True,False,9.1,8.0
202204,117.22,osgb5000005134753280,True,False,9.1,8.0
202206,117.25,osgb5000005134753280,True,False,9.1,8.0
202207,117.27,osgb5000005134753280,True,False,9.1,8.0
202208,117.3,osgb5000005134753280,True,False,9.1,8.0
202798,117.22,osgb5000005134753280,True,False,9.1,8.0
203386,117.33,osgb5000005134753280,True,False,9.1,8.0
203387,117.29,osgb5000005134753280,True,False,9.1,8.0
203955,117.26,osgb5000005134753280,True,False,9.1,8.0
203956,117.25,osgb5000005134753280,True,False,9.1,8.0
204539,117.37,osgb5000005134753280,True,False,9.1,8.0
204540,117.44,osgb5000005134753280,True,False,9.1,8.0
204541,117.37,osgb5000005134753280,True,False,9.1,8.0
204544,117.36,osgb5000005134753280,True,False,9.1,8.0
204545,117.38,osgb5000005134753280,True,False,9.1,8.0
204546,117.4,osgb5000005134753280,True,False,9.1,8.0
204547,117.34,osgb5000005134753280,True,False,9.1,8.0
204548,117.33,osgb5000005134753280,True,False,9.1,8.0
204549,117.29,osgb5000005134753280,True,False,9.1,8.0
204550,117.29,osgb5000005134753280,True,False,9.1,8.0
204551,117.29,osgb5000005134753280,True,False,9.1,8.0
204552,117.29,osgb5000005134753280,True,False,9.1,8.0
205145,117.34,osgb5000005134753280,True,False,9.1,8.0
205146,117.35,osgb5000005134753280,True,False,9.1,8.0
