pixel_id,elevation,toid,within_building,without_building,height,base_roof_height
39851,113.14,osgb5000005235848378,True,False,9.5,6.9
39852,113.34,osgb5000005235848378,True,False,9.5,6.9
40091,112.76,osgb5000005235848378,True,False,9.5,6.9
40092,112.78,osgb5000005235848378,True,False,9.5,6.9
40093,112.66,osgb5000005235848378,True,False,9.5,6.9
40094,112.49,osgb5000005235848378,True,False,9.5,6.9
40095,112.45,osgb5000005235848378,True,False,9.5,6.9
40324,112.72,osgb5000005235848378,False,True,9.5,6.9
40325,112.73,osgb5000005235848378,True,False,9.5,6.9
40326,112.8,osgb5000005235848378,True,False,9.5,6.9
40327,112.81,osgb5000005235848378,True,False,9.5,6.9
40328,112.68,osgb5000005235848378,True,False,9.5,6.9
40329,112.47,osgb5000005235848378,True,False,9.5,6.9
40330,112.34,osgb5000005235848378,True,False,9.5,6.9
40331,112.31,osgb5000005235848378,True,False,9.5,6.9
40565,112.76,osgb5000005235848378,True,False,9.5,6.9
40566,112.76,osgb5000005235848378,True,False,9.5,6.9
40567,112.77,osgb5000005235848378,True,False,9.5,6.9
40568,112.77,osgb5000005235848378,True,False,9.5,6.9
40569,112.71,osgb5000005235848378,True,False,9.5,6.9
40570,112.46,osgb5000005235848378,True,False,9.5,6.9
40571,112.35,osgb5000005235848378,True,False,9.5,6.9
40572,112.34,osgb5000005235848378,True,False,9.5,6.9
40573,112.53,osgb5000005235848378,True,False,9.5,6.9
40574,112.64,osgb5000005235848378,True,False,9.5,6.9
40800,112.78,osgb5000005235848378,True,False,9.5,6.9
40801,112.78,osgb5000005235848378,True,False,9.5,6.9
40802,112.81,osgb5000005235848378,True,False,9.5,6.9
40803,112.75,osgb5000005235848378,True,False,9.5,6.9
40804,112.59,osgb5000005235848378,True,False,9.5,6.9
40805,112.41,osgb5000005235848378,True,False,9.5,6.9
40806,112.3,osgb5000005235848378,True,False,9.5,6.9
40807,112.46,osgb5000005235848378,True,False,9.5,6.9
40808,112.88,osgb5000005235848378,True,False,9.5,6.9
40809,112.46,osgb5000005235848378,True,False,9.5,6.9
41021,112.74,osgb5000005235848378,True,False,9.5,6.9
41022,112.75,osgb5000005235848378,True,False,9.5,6.9
41023,112.76,osgb5000005235848378,True,False,9.5,6.9
41024,112.63,osgb5000005235848378,True,False,9.5,6.9
41025,112.49,osgb5000005235848378,True,False,9.5,6.9
41026,112.39,osgb5000005235848378,True,False,9.5,6.9
41027,112.32,osgb5000005235848378,True,False,9.5,6.9
41028,112.35,osgb5000005235848378,True,False,9.5,6.9
41029,112.39,osgb5000005235848378,True,False,9.5,6.9
41030,112.39,osgb5000005235848378,True,False,9.5,6.9
41031,112.35,osgb5000005235848378,True,False,9.5,6.9
41032,112.31,osgb5000005235848378,True,False,9.5,6.9
41236,113.11,osgb5000005235848378,True,False,9.5,6.9
41237,112.74,osgb5000005235848378,True,False,9.5,6.9
41238,112.75,osgb5000005235848378,True,False,9.5,6.9
41239,112.95,osgb5000005235848378,True,False,9.5,6.9
41240,112.73,osgb5000005235848378,True,False,9.5,6.9
41241,112.46,osgb5000005235848378,True,False,9.5,6.9
41242,112.32,osgb5000005235848378,True,False,9.5,6.9
41243,112.34,osgb5000005235848378,True,False,9.5,6.9
41244,112.32,osgb5000005235848378,True,False,9.5,6.9
41245,112.32,osgb5000005235848378,True,False,9.5,6.9
41246,112.34,osgb5000005235848378,True,False,9.5,6.9
41247,112.4,osgb5000005235848378,True,False,9.5,6.9
41248,112.34,osgb5000005235848378,True,False,9.5,6.9
41249,112.38,osgb5000005235848378,True,False,9.5,6.9
41250,112.39,osgb5000005235848378,True,False,9.5,6.9
41251,112.38,osgb5000005235848378,True,False,9.5,6.9
41460,113.35,osgb5000005235848378,True,False,9.5,6.9
41461,113.26,osgb5000005235848378,True,False,9.5,6.9
41462,113.19,osgb5000005235848378,True,False,9.5,6.9
41463,112.99,osgb5000005235848378,True,False,9.5,6.9
41464,112.65,osgb5000005235848378,True,False,9.5,6.9
41465,112.35,osgb5000005235848378,True,False,9.5,6.9
41466,112.29,osgb5000005235848378,True,False,9.5,6.9
41467,112.35,osgb5000005235848378,True,False,9.5,6.9
41468,112.37,osgb5000005235848378,True,False,9.5,6.9
41469,112.37,osgb5000005235848378,True,False,9.5,6.9
41470,112.39,osgb5000005235848378,True,False,9.5,6.9
41471,112.39,osgb5000005235848378,True,False,9.5,6.9
41472,112.36,osgb5000005235848378,True,False,9.5,6.9
41473,112.33,osgb5000005235848378,True,False,9.5,6.9
