pixel_id,easting,northing,elevation,aspect
389249,402822.29308015323,200487.84932041288,118.91,324.7
389250,402823.29308015323,200487.84932041288,119.18,343.55
389251,402824.29308015323,200487.84932041288,119.45,0.42
389252,402825.29308015323,200487.84932041288,119.67,335.52
389253,402826.29308015323,200487.84932041288,119.76,319.63
391449,402825.29308015323,200483.84932041288,119.3,249.94
391450,402826.29308015323,200483.84932041288,119.55,252.15
391451,402827.29308015323,200483.84932041288,119.76,252.89
393446,402828.29308015323,200479.84932041288,119.75,249.96
393447,402829.29308015323,200479.84932041288,119.82,96.84
393891,402827.29308015323,200478.84932041288,119.34,251.03
393892,402828.29308015323,200478.84932041288,119.56,249.96
393893,402829.29308015323,200478.84932041288,119.74,245.23
394332,402830.29308015323,200477.84932041288,119.8,69.62
394773,402825.29308015323,200476.84932041288,118.66,247.42
394774,402826.29308015323,200476.84932041288,118.91,245.69
394775,402827.29308015323,200476.84932041288,119.15,245.51
394776,402828.29308015323,200476.84932041288,119.45,245.76
394777,402829.29308015323,200476.84932041288,119.71,243.43
394778,402830.29308015323,200476.84932041288,119.76,97.43
396111,402831.29308015323,200473.84932041288,119.8,245.56
396559,402825.29308015323,200472.84932041288,118.28,250.2
396560,402826.29308015323,200472.84932041288,118.56,251.39
396561,402827.29308015323,200472.84932041288,118.79,253.17
396562,402828.29308015323,200472.84932041288,119.03,256.03
396563,402829.29308015323,200472.84932041288,119.26,255.05
396564,402830.29308015323,200472.84932041288,119.51,253.02
396565,402831.29308015323,200472.84932041288,119.73,251.98
396566,402832.29308015323,200472.84932041288,119.74,69.63
398375,402824.29308015323,200468.84932041288,117.69,265.4
398376,402825.29308015323,200468.84932041288,117.91,248.15
398377,402826.29308015323,200468.84932041288,118.16,245.98
398378,402827.29308015323,200468.84932041288,118.31,247.34
398379,402828.29308015323,200468.84932041288,118.62,249.44
398380,402829.29308015323,200468.84932041288,118.89,246.19
398381,402830.29308015323,200468.84932041288,119.13,244.86
398382,402831.29308015323,200468.84932041288,119.41,248.78
398383,402832.29308015323,200468.84932041288,119.69,252.26
398384,402833.29308015323,200468.84932041288,119.76,81.38
400217,402833.29308015323,200464.84932041288,119.51,252.79
400218,402834.29308015323,200464.84932041288,119.77,260.96
400219,402835.29308015323,200464.84932041288,119.77,71.28
401138,402831.29308015323,200462.84932041288,118.84,257.83
401139,402832.29308015323,200462.84932041288,119.09,259.26
401140,402833.29308015323,200462.84932041288,119.31,256.1
401141,402834.29308015323,200462.84932041288,119.56,253.46
401142,402835.29308015323,200462.84932041288,119.75,225.02
402522,402830.29308015323,200459.84932041288,118.34,255.65
402523,402831.29308015323,200459.84932041288,118.62,256.03
402524,402832.29308015323,200459.84932041288,118.84,255.96
402525,402833.29308015323,200459.84932041288,119.07,256.29
402526,402834.29308015323,200459.84932041288,119.35,253.4
402527,402835.29308015323,200459.84932041288,119.57,256.64
402528,402836.29308015323,200459.84932041288,119.8,290.55
