pixel_id,x,y,elevation,aspect
osgb1000011999905:254309.5:58806.5,254309.5,58806.5,74.10399627685547,354.34832763671875
osgb1000011999905:254310.5:58806.5,254310.5,58806.5,74.60399627685547,7.49395751953125
osgb1000011999905:254309.5:58805.5,254309.5,58805.5,76.85399627685547,337.98260498046875
osgb1000011999905:254310.5:58805.5,254310.5,58805.5,76.49400329589844,10.972557067871094
osgb1000011999905:254311.5:58805.5,254311.5,58805.5,75.56400299072266,26.515480041503906
osgb1000011999905:254312.5:58805.5,254312.5,58805.5,74.50399780273438,2.0309829711914062
osgb1000011999905:254313.5:58805.5,254313.5,58805.5,75.46399688720703,331.1619873046875
osgb1000011999905:254314.5:58805.5,254314.5,58805.5,76.60399627685547,324.26654052734375
osgb1000011999905:254315.5:58805.5,254315.5,58805.5,78.4540023803711,350.02801513671875
osgb1000011999905:254316.5:58805.5,254316.5,58805.5,77.3740005493164,28.056926727294922
osgb1000011999905:254317.5:58805.5,254317.5,58805.5,75.77400207519531,38.870880126953125
osgb1000011999905:254318.5:58805.5,254318.5,58805.5,73.55400085449219,42.870906829833984
osgb1000011999905:254319.5:58805.5,254319.5,58805.5,71.44400024414062,44.614723205566406
osgb1000011999905:254309.5:58804.5,254309.5,58804.5,76.99400329589844,300.0607604980469
osgb1000011999905:254310.5:58804.5,254310.5,58804.5,77.59400177001953,351.162109375
osgb1000011999905:254311.5:58804.5,254311.5,58804.5,77.41400146484375,16.653396606445312
osgb1000011999905:254312.5:58804.5,254312.5,58804.5,76.51399993896484,357.82318115234375
osgb1000011999905:254313.5:58804.5,254313.5,58804.5,77.65399932861328,330.6883850097656
osgb1000011999905:254314.5:58804.5,254314.5,58804.5,78.80400085449219,320.54248046875
osgb1000011999905:254315.5:58804.5,254315.5,58804.5,79.93399810791016,333.192138671875
osgb1000011999905:254316.5:58804.5,254316.5,58804.5,80.2239990234375,28.547664642333984
osgb1000011999905:254317.5:58804.5,254317.5,58804.5,78.13400268554688,46.03568649291992
osgb1000011999905:254318.5:58804.5,254318.5,58804.5,75.80400085449219,49.068931579589844
osgb1000011999905:254319.5:58804.5,254319.5,58804.5,73.41400146484375,44.48982620239258
osgb1000011999905:254320.5:58804.5,254320.5,58804.5,71.51399993896484,17.738189697265625
osgb1000011999905:254309.5:58803.5,254309.5,58803.5,77.2239990234375,293.895263671875
osgb1000011999905:254310.5:58803.5,254310.5,58803.5,77.83399963378906,305.1397705078125
osgb1000011999905:254311.5:58803.5,254311.5,58803.5,78.6240005493164,340.7553405761719
osgb1000011999905:254312.5:58803.5,254312.5,58803.5,78.54399871826172,357.11822509765625
osgb1000011999905:254313.5:58803.5,254313.5,58803.5,78.79399871826172,339.94964599609375
osgb1000011999905:254314.5:58803.5,254314.5,58803.5,79.49400329589844,299.7778625488281
osgb1000011999905:254315.5:58803.5,254315.5,58803.5,80.08399963378906,279.5518798828125
osgb1000011999905:254316.5:58803.5,254316.5,58803.5,80.64399719238281,70.04853820800781
osgb1000011999905:254317.5:58803.5,254317.5,58803.5,79.75399780273438,65.36164855957031
osgb1000011999905:254318.5:58803.5,254318.5,58803.5,77.53399658203125,56.792083740234375
osgb1000011999905:254319.5:58803.5,254319.5,58803.5,75.30400085449219,42.0299186706543
osgb1000011999905:254320.5:58803.5,254320.5,58803.5,74.11399841308594,21.285621643066406
osgb1000011999905:254308.5:58802.5,254308.5,58802.5,76.81400299072266,276.2185363769531
osgb1000011999905:254309.5:58802.5,254309.5,58802.5,77.5739974975586,289.73565673828125
osgb1000011999905:254310.5:58802.5,254310.5,58802.5,78.10399627685547,291.96343994140625
osgb1000011999905:254311.5:58802.5,254311.5,58802.5,79.28399658203125,288.056884765625
osgb1000011999905:254312.5:58802.5,254312.5,58802.5,80.71399688720703,356.9865417480469
osgb1000011999905:254313.5:58802.5,254313.5,58802.5,79.30400085449219,51.041770935058594
osgb1000011999905:254314.5:58802.5,254314.5,58802.5,79.52400207519531,268.6028747558594
osgb1000011999905:254315.5:58802.5,254315.5,58802.5,80.05400085449219,257.59307861328125
osgb1000011999905:254316.5:58802.5,254316.5,58802.5,79.96399688720703,119.34036254882812
osgb1000011999905:254317.5:58802.5,254317.5,58802.5,79.59400177001953,87.95174407958984
osgb1000011999905:254318.5:58802.5,254318.5,58802.5,78.63400268554688,66.23637390136719
osgb1000011999905:254319.5:58802.5,254319.5,58802.5,76.94400024414062,46.06736755371094
osgb1000011999905:254320.5:58802.5,254320.5,58802.5,76.42400360107422,49.596553802490234
osgb1000011999905:254308.5:58801.5,254308.5,58801.5,76.66400146484375,249.09619140625
osgb1000011999905:254309.5:58801.5,254309.5,58801.5,77.83399963378906,248.50291442871094
osgb1000011999905:254310.5:58801.5,254310.5,58801.5,78.51399993896484,239.2355499267578
osgb1000011999905:254311.5:58801.5,254311.5,58801.5,79.11399841308594,211.44842529296875
osgb1000011999905:254312.5:58801.5,254312.5,58801.5,78.96399688720703,182.66485595703125
osgb1000011999905:254313.5:58801.5,254313.5,58801.5,78.98400115966797,193.30654907226562
osgb1000011999905:254314.5:58801.5,254314.5,58801.5,79.4540023803711,255.44764709472656
osgb1000011999905:254315.5:58801.5,254315.5,58801.5,79.88400268554688,280.42041015625
osgb1000011999905:254316.5:58801.5,254316.5,58801.5,80.42400360107422,68.06421661376953
osgb1000011999905:254317.5:58801.5,254317.5,58801.5,79.44400024414062,89.39502716064453
osgb1000011999905:254318.5:58801.5,254318.5,58801.5,78.64399719238281,72.30348205566406
osgb1000011999905:254319.5:58801.5,254319.5,58801.5,78.2239990234375,47.505859375
osgb1000011999905:254320.5:58801.5,254320.5,58801.5,76.64399719238281,70.23661804199219
osgb1000011999905:254308.5:58800.5,254308.5,58800.5,75.78399658203125,231.70570373535156
osgb1000011999905:254309.5:58800.5,254309.5,58800.5,76.98400115966797,220.3314666748047
